day,date,subject,topic
D1,12/12,Toán,Hàm bậc hai và đồ thị
D1,12/12,Văn,Phân tích một đoạn trong truyện ngắn hiện đại
D1,12/12,Anh,Thì hiện tại hoàn thành và dấu hiệu nhận biết
D2,13/12,Lý,Dao động điều hòa và con lắc lò xo
D2,13/12,Hóa,Este và ứng dụng trong đời sống
D2,13/12,Anh,Câu điều kiện loại 1 và loại 2
D3,14/12,Sinh,Quang hợp ở thực vật
D3,14/12,Toán,Giải hệ phương trình bậc nhất hai ẩn
D3,14/12,Văn,Nghị luận về một hiện tượng đời sống
D4,15/12,Lý,Điện xoay chiều các đại lượng cơ bản
D4,15/12,Hóa,Phản ứng oxi hóa khử dạng cơ bản
D4,15/12,Anh,Reported speech trong hội thoại
D5,16/12,Toán,Bất đẳng thức cơ bản và áp dụng
D5,16/12,Sử,Phong trào giải phóng dân tộc ở Việt Nam
D5,16/12,Địa,Đặc điểm tự nhiên khu vực Đông Nam Á
D6,17/12,Văn,Phân tích hình tượng nhân vật trung tâm
D6,17/12,Anh,Giới từ chỉ thời gian và nơi chốn
D6,17/12,Sinh,Di truyền học quy luật Menđen
D7,18/12,Toán,Tổ hợp và chỉnh hợp cơ bản
D7,18/12,Lý,Công suất và hiệu suất trong mạch điện
D7,18/12,Hóa,Nhận biết một số ion vô cơ thường gặp
D8,19/12,Văn,Giọng điệu và điểm nhìn trần thuật
D8,19/12,Anh,Collocations trong chủ đề học tập
D8,19/12,Toán,Tích phân cơ bản và ý nghĩa hình học
D9,20/12,Hóa,Hiđrocacbon không no và phản ứng cộng
D9,20/12,Sử,Việt Nam sau Cách mạng tháng Tám
D9,20/12,Địa,Đặc điểm dân cư và xã hội Việt Nam
